id,context,intents,intents-count,icons,instructions_text,instructions,word
,Doctor'a appointment,reply to a text message | Start a workout session on your favorite workout app | Schedule something on your calendar,3,chat | phone | calendar3,"Reply to a text message, start a workout session on your favorite workout app, schedule something on your calendar, an",,unless
,Yoga class,Check for a reminder | Inquire on the estimated time of arrival | Inquire on the duration of a drive,3,bell | map | map,"Depending on reminders information (don't assume you know it), depending on the estimated time of arrival (don't assume you know it), inquire on the duration of a drive",,unless
,A concert,"Delete something on your calendar | Inquire on location information (e.g., of a place or a place nearby) | based on calendar events or availability",3,calendar3 | geo | calendar3,"Delete something on your calendar, inquire on location information (e.g., of a place or a place nearby), depending on calendar events or availability (don't assume you know it)",,unless
,At the office,Update a reminder | Inquire on traffic information,2,bell | map,"Update a reminder, inquire on traffic information, an",,unless
,Yoga class,Delete a reminder | Inquire on the estimated time of arrival,2,bell | map,"Delete a reminder, depending on the estimated time of arrival (don't assume you know it)",,whether
,At home,"Update a reminder | Inquire on location information (e.g., of a place or a place nearby)",2,bell | geo,"Update a reminder, depending on a place location information (don't assume you know it)",,as soon as
,Commuting to the office,"Inquire on location information (e.g., of a place or a place nearby) | Create a reminder",2,geo | bell,"Inquire on location information (e.g., of a place or a place nearby), create a reminder, an",,as soon as
,At home,"Check for a reminder | Inquire on location information (e.g., of a place or a place nearby)",2,bell | geo,"Depending on reminders information (don't assume you know it), inquire on location information (e.g., of a place or a place nearby)",,provided
,Commuting to the office,Inquire on information on a public event | Inquire on the estimated time of arrival,2,info | map,"Depending on information on a public event (don't assume you know it), inquire on the estimated time of arrival",,once
,Supermarket,"Inquire on location information (e.g., of a place or a place nearby) | Inquire on the duration to travel to somewhere | Inquire on the duration of a drive",3,geo | map | map,"Inquire on location information (e.g., of a place or a place nearby), inquire on the duration to travel to somewhere, depending on the duration of a drive (don't assume you know it)",,so that
,At home,"Inquire on the duration to travel to somewhere | Inquire on location information (e.g., of a place or a place nearby)",2,map | geo,"Depending on the estimated time of arrival (don't assume you know it), inquire on location information (e.g., of a place or a place nearby)",,until
,Supermarket,based on calendar events or availability | Inquire on the time to depart to get to somewhere,2,calendar3 | map,"Depending on calendar events or availability (don't assume you know it), inquire on the time to depart to get to somewhere",,while
,Family dinner,"Inquire on location information (e.g., of a place or a place nearby) | Inquire on the estimated time of arrival",2,geo | map,"Inquire on location information (e.g., of a place or a place nearby), depending on the estimated time of arrival (don't assume you know it)",,whether
,Workout,"Create a reminder | Inquire on location information (e.g., of a place or a place nearby)",2,bell | geo,"Create a reminder, inquire on location information (e.g., of a place or a place nearby), an",,whether
,Rally,based on calendar events or availability | Inquire on information on a public event | Inquire on the duration of a drive,3,calendar3 | info | map,"Depending on calendar events or availability (don't assume you know it), depending on information on a public event (don't assume you know it), inquire on the duration of a drive",,supposing
,Catch a flight,based on calendar events or availability | Delete something on your calendar,2,calendar3 | calendar3,"Depending on calendar events or availability (don't assume you know it), delete something on your calendar",,as
,Commuting to the office,Inquire on the weather | reply to a text message,2,cloud-sun | chat,"Inquire on the weather, reply to a text message, an",,as
,Catch a flight,Delete a reminder | Inquire on the duration of a drive,2,bell | map,"Delete a reminder, inquire on the duration of a drive, an",,as
,Catch a flight,reply to a text message | Inquire on the time to depart to get to somewhere | Inquire on the weather,3,chat | map | cloud-sun,"Reply to a text message, inquire on the time to depart to get to somewhere, inquire on the weather, an",,as
,Workout,Inquire on the estimated time of arrival | Delete something on your calendar,2,map | calendar3,"Inquire on the estimated time of arrival, delete something on your calendar, an",,as
,Your favorite team's game,Inquire on traffic information | Check for a reminder,2,map | bell,"Inquire on traffic information, depending on reminders information (don't assume you know it)",,unless
,Catch a flight,Inquire on the weather | Inquire on the time to depart to get to somewhere,2,cloud-sun | map,"Depending on weather information (don't assume you know it), inquire on the time to depart to get to somewhere",,before
,At home,Inquire on the weather | Inquire on information on a public event,2,cloud-sun | info,"Depending on weather information (don't assume you know it), inquire on information on a public event",,even if
,A concert,Start a workout session on your favorite workout app | Inquire on the time to depart to get to somewhere,2,phone | map,"Start a workout session on your favorite workout app, inquire on the time to depart to get to somewhere, an",,even if
