context,intents-html
A movie,<ol><li>Check weather information</li><li>Get the duration of a drive</li></ol>
Yoga class,<ol><li>Check an estimated time of arrival</li><li>Get information on a public event</li></ol>
Commuting to the office,<ol><li>Check weather information</li><li>Get the duration of a drive</li></ol>
At home,"<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
A stand up show,"<ol><li>Get the time to depart to get somewhere</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
A movie,<ol><li>Check the distance to get somewhere</li><li>Send a text message to anyone on your contact list</li></ol>
A barber appointment,<ol><li>Check the duration to travel somewhere</li><li>Get information on a public event</li></ol>
A dentist appointment,<ol><li>Check weather information</li><li>Get information on a public event</li></ol>
A dentist appointment,<ol><li>Delete a reminder</li><li>Get information on a public event</li></ol>
Meeting with a friend,"<ol><li>Check the time to depart to get somewhere</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
Yoga class,<ol><li>Check calendar for events or availability</li><li>Create a reminder</li></ol>
A workout,<ol><li>Create a reminder</li><li>Schedule something on your calendar</li></ol>
At the office,"<ol><li>Get location information (e.g., of a place or a place nearby)</li><li>Get an estimated time of arrival</li></ol>"
At the office,"<ol><li>Check the duration of a drive</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
Commuting to the office,<ol><li>Check information on a public event</li><li>Order a coffee to go for you from your favorite cafe</li></ol>
The Eagles game,<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Get weather information</li></ol>
Catch a flight,<ol><li>Check the distance to get somewhere</li><li>Get the time to depart to get somewhere</li></ol>
At the office,<ol><li>Check the duration of a drive</li><li>Delete something on your calendar</li></ol>
A workout,"<ol><li>Check the time to depart to get somewhere</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
The Eagles game,"<ol><li>Create a reminder</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
Meeting with a friend,<ol><li>Order a coffee to go for you from your favorite cafe</li><li>Reply to a text message</li></ol>
Meeting with a friend,<ol><li>Create a reminder</li><li>Update a reminder</li></ol>
At the office,"<ol><li>Check the distance to get somewhere</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
A doctor appointment,"<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
The Eagles game,<ol><li>Check traffic information</li><li>Get the distance to get somewhere</li></ol>
A stand up show,<ol><li>Check the distance to get somewhere</li><li>Get the duration to travel somewhere</li></ol>
Birthday party,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Schedule something on your calendar</li></ol>"
A workout,"<ol><li>Check calendar for events or availability</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
The Eagles game,<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Delete something on your calendar</li></ol>
Catch a flight,<ol><li>Get the distance to get somewhere</li><li>Update a reminder</li></ol>
A dentist appointment,<ol><li>Get the distance to get somewhere</li><li>Order a ride share for you on your favorite ride sharing app</li></ol>
Catch a flight,<ol><li>Get the distance to get somewhere</li><li>Get the duration to travel somewhere</li></ol>
A dentist appointment,<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Start a workout session on your favorite workout app</li></ol>
At the office,<ol><li>Get weather information</li><li>Order a coffee to go for you from your favorite cafe</li></ol>
A dentist appointment,<ol><li>Get information on a public event</li><li>Get weather information</li></ol>
Yoga class,<ol><li>Get information on a public event</li><li>Delete something on your calendar</li></ol>
Commuting to the office,<ol><li>Check the duration of a drive</li><li>Start a workout session on your favorite workout app</li></ol>
A workout,<ol><li>Check the time to depart to get somewhere</li><li>Send a text message to anyone on your contact list</li></ol>
Meeting with a friend,<ol><li>Check weather information</li><li>Get weather information</li></ol>
At home,<ol><li>Check the duration to travel somewhere</li><li>Send a text message to anyone on your contact list</li></ol>
Julie’s soccer practice,"<ol><li>Check location information (e.g., of a place or a place nearby)</li><li>Reply to a text message</li></ol>"
Catch a flight,<ol><li>Check information on a public event</li><li>Reply to a text message</li></ol>
A concert,<ol><li>Check information on a public event</li><li>Get the duration of a drive</li></ol>
Birthday party,<ol><li>Check calendar for events or availability</li><li>Order a coffee to go for you from your favorite cafe</li></ol>
A doctor appointment,<ol><li>Check calendar for events or availability</li><li>Get weather information</li></ol>
At home,<ol><li>Get the directions to get somewhere</li><li>Order a coffee to go for you from your favorite cafe</li></ol>
Commuting to the office,<ol><li>Create a reminder</li><li>Get the distance to get somewhere</li></ol>
A concert,"<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Get location information (e.g., of a place or a place nearby)</li></ol>"
Catch a flight,<ol><li>Check calendar for events or availability</li><li>Get the distance to get somewhere</li></ol>
Yoga class,<ol><li>Check if you have messages (in general or from someone on you contact list)</li><li>Update a reminder</li></ol>
At home,<ol><li>Check the distance to get somewhere</li><li>Get the distance to get somewhere</li></ol>
At home,<ol><li>Reply to a text message</li><li>Get the duration of a drive</li></ol>
